Independent_Variable,Dependent_Variable,Correlation,P_Value,Sample_Size
BNT_totalwstim_raw_x,posteriorcingulate,0.15861082441431282,0.0035071563394177053,337
BNT_totalwstim_raw_x,posteriorcingulate_rh,0.15847295653383142,0.0035361844402196077,337
BNT_totalwstim_T_x,Left-Cerebellum-White-Matter,0.15929597825850722,0.0036637505748659763,331
FAS_total_T_x,parahippocampal_rh,0.15922481246045514,0.003679175716095386,331
Edu_x,Left-Pallidum,0.14855358395913604,0.003794918663687285,378
Animals_T_x,Right-choroid-plexus,-0.15930748007214435,0.003819920463791265,328
Edu_x,frontalpole,0.14799123367488864,0.003931033041256816,378
Edu_x,parsopercularis,0.14792224452781658,0.003948032167890251,378
FAS_total_T_x,superiorparietal_rh,0.1579448203236239,0.003966836548944,331
BNT_totalwstim_T_x,Left-Cerebellum-Cortex,0.15793721637451308,0.0039686045425438585,331
Animals_T_x,Left-choroid-plexus,-0.15861529837931682,0.003977613014298322,328
Animals_T_x,lingual,0.15842151506866126,0.0040228026016400865,328
Edu_x,parsorbitalis_rh,0.14730494169837907,0.004103122212327208,378
Age_x,supramarginal,-0.14612691259260996,0.00411024927275961,384
Age_x,insula,-0.14580434309896395,0.004194240706884975,384
FAS_total_T_x,lingual,0.1568598968797896,0.004226410657684589,331
Edu_x,inferiorparietal_rh,0.14660799262512964,0.004284824620951242,378
Animals_T_x,Right-Lateral-Ventricle,-0.15725015465431347,0.004305976099915943,328
Edu_x,cuneus,0.1464862951038433,0.0043172876761493895,378
BNT_totalwstim_T_x,caudalmiddlefrontal_rh,0.15533198962320183,0.00461799234644727,331
Animals_T_x,caudalanteriorcingulate,0.154971076352692,0.004909022506835532,328
Age_x,Left-Pallidum,-0.14293508112005626,0.005012405486547114,384
FAS_total_raw_x,temporalpole_rh,0.15242553057642166,0.0050446670733047426,337
Animals_raw_x,paracentral_rh,0.15265820502359026,0.005108831111158505,335
FAS_total_raw_x,Right-Cerebellum-White-Matter,0.15215391229548292,0.005124342021934257,337
FAS_total_raw_x,CC_Anterior,0.15165155323923774,0.00527469026942236,337
FAS_total_T_x,Left-Inf-Lat-Vent,-0.1528904099491715,0.005311962059076027,331
Age_x,paracentral_rh,-0.1419195978156123,0.00533474796948259,384
FAS_total_T_x,Left-Accumbens-area,0.151959319003487,0.005600388971288783,331
Edu_x,cuneus_rh,0.14208980066795915,0.005649727258245187,378
Edu_x,Brain-Stem,0.14197152679309882,0.005690193891434499,378
Age_x,cuneus,-0.14066963074470556,0.005757057531020035,384
FAS_total_T_x,Left-Cerebellum-White-Matter,0.15090569323569253,0.005943675169255149,331
Edu_x,Right-Inf-Lat-Vent,0.14031194454765014,0.006286119846225044,378
BNT_totalwstim_raw_x,isthmuscingulate_rh,0.14816817834079157,0.006430999383310456,337
Edu_x,inferiortemporal,0.13919825712928985,0.006716801219497832,378
Animals_raw_x,Left-Cerebellum-White-Matter,0.14766286131837278,0.0067806520516782475,335
Animals_T_x,Right-VentralDC,0.14740974860440284,0.007492207915046273,328
BNT_totalwstim_T_x,lingual_rh,0.14650246959927768,0.007591564631073013,331
Edu_x,middletemporal,0.13692314083828,0.007679622390969681,378
Edu_x,isthmuscingulate,0.13614496985992702,0.00803617148157372,378
Animals_T_x,Brain-Stem,0.14562990139085402,0.008254049458519614,328
FAS_total_T_x,temporalpole,0.1448782892821032,0.008295508113001402,331
Age_x,CC_Central,-0.13385658730493966,0.008631354942136129,384
BNT_totalwstim_T_x,precentral_rh,0.14349773559615947,0.008938959618564397,331
BNT_totalwstim_T_x,paracentral,0.14300367441609993,0.009179793724723512,331
Edu_x,posteriorcingulate,0.13264468924522044,0.009829105196553393,378
BNT_totalwstim_raw_x,pericalcarine,0.13951547105844814,0.010341395259050645,337
BNT_totalwstim_T_x,rostralanteriorcingulate_rh,0.14037778205173126,0.010559091177110333,331
Animals_T_x,CC_Central,0.14036480103357157,0.010927104023516468,328
FAS_total_T_x,Right-Cerebellum-White-Matter,0.1392286792441292,0.011218322721267973,331
Edu_x,4th-Ventricle,0.13004841529598643,0.01137986597068335,378
Animals_raw_x,paracentral,0.13802742104692334,0.011439135598976986,335
Edu_x,parstriangularis_rh,0.12995452433319263,0.011439790819388932,378
FAS_total_T_x,CC_Anterior,0.13876686299630725,0.01149334835565903,331
Animals_raw_x,cuneus_rh,0.13709922276261066,0.012011033140252968,335
BNT_totalwstim_raw_x,CC_Posterior,0.1360566400139983,0.012418509474928457,337
FAS_total_T_x,temporalpole_rh,0.13696062938065845,0.012627065452639058,331
FAS_total_T_x,lateraloccipital_rh,0.13683381114849666,0.012710247271064415,331
Edu_x,paracentral,0.1278271068399811,0.012874454418872618,378
BNT_totalwstim_raw_x,pericalcarine_rh,0.1349615205578269,0.013148786233593918,337
FAS_total_T_x,paracentral,0.13592629552366436,0.013319717234346827,331
FAS_total_raw_x,cuneus,0.13389234285060514,0.01389796911245215,337
Animals_raw_x,Left-Caudate,0.13295295665357662,0.014885081246708677,335
BNT_totalwstim_T_x,posteriorcingulate,0.13292554241795754,0.015521889204798855,331
Animals_raw_x,Right-Cerebellum-White-Matter,0.13155177156282763,0.01598436428901563,335
FAS_total_T_x,Left-Lateral-Ventricle,-0.13162306330096246,0.016573014950408436,331
FAS_total_T_x,CSF,-0.1314345020249781,0.01673023241623342,331
BNT_totalwstim_raw_x,Right-Caudate,0.129986420473862,0.016963167463207002,337
BNT_totalwstim_T_x,cuneus,0.1311192622448824,0.016995983123177207,331
Edu_x,Right-VentralDC,0.12263443113246637,0.017060580244117763,378
Edu_x,posteriorcingulate_rh,0.12247050979083551,0.01721016289400549,378
Animals_raw_x,Right-Caudate,0.13003402746461248,0.01725464584224556,335
FAS_total_T_x,caudalanteriorcingulate_rh,0.13043525216370885,0.017585322545214877,331
FAS_total_raw_x,CC_Posterior,0.1290030739113709,0.017822243948098598,337
FAS_total_raw_x,Right-Pallidum,0.12778446565194726,0.01893931623971829,337
Animals_T_x,cuneus,0.12937608189996158,0.019077416031408726,328
FAS_total_raw_x,Left-Lateral-Ventricle,-0.12661027891985926,0.02007283622435188,337
FAS_total_raw_x,cuneus_rh,0.12627305811079545,0.02040908333663473,337
BNT_totalwstim_T_x,cuneus_rh,0.12668096145033775,0.021147862759994418,331
